id,grupo_id,codigo,descricao
65,8,A77,Febre maculosa [rickettsioses transmitidas por carrapatos]
66,8,A78,Febre Q
67,8,A79,Outras rickettsioses
68,9,A80,Poliomielite aguda
69,9,A81,Infecções por vírus atípicos do sistema nervoso central
70,9,A82,Raiva
71,9,A83,Encefalite por vírus transmitidos por mosquitos
72,9,A84,Encefalite por vírus transmitido por carrapatos
73,9,A85,"Outras encefalites virais, não classificadas em outra parte"
74,9,A86,"Encefalite viral, não especificada"
75,9,A87,Meningite viral
76,9,A88,Outras infecções virais do sistema nervoso central não classificadas em outra parte
77,9,A89,Infecções virais não especificadas do sistema nervoso central
78,10,A90,Dengue [dengue clássico]
79,10,A91,Febre hemorrágica devida ao vírus do dengue
80,10,A92,Outras febres virais transmitidas por mosquitos
81,10,A93,Outras febres por vírus transmitidas por artrópodes não classificadas em outra parte
82,10,A94,"Febre viral transmitida por artrópodes, não especificada"
83,10,A95,Febre amarela
84,10,A96,Febre hemorrágica por arenavírus
85,10,A98,"Outras febres hemorrágicas por vírus, não classificadas em outra parte"
86,10,A99,Febres hemorrágicas virais não especificadas
87,11,B00,Infecções pelo vírus do herpes [herpes simples]
88,11,B01,Varicela [Catapora]
89,11,B02,Herpes zoster [Zona]
90,11,B03,Varíola
91,11,B04,Varíola dos macacos [Monkeypox]
92,11,B05,Sarampo
93,11,B06,Rubéola
94,11,B07,Verrugas de origem viral
95,11,B08,"Outras infecções virais caracterizadas por lesões da pele e das membranas mucosas, não classificadas em outra parte"
96,11,B09,Infecção viral não especificada caracterizada por lesões da pele e membranas mucosas
97,12,B15,Hepatite aguda A
98,12,B16,Hepatite aguda B
99,12,B17,Outras hepatites virais agudas
100,12,B18,Hepatite viral crônica
101,12,B19,Hepatite viral não especificada
102,13,B20,"Doença pelo vírus da imunodeficiência humana [HIV], resultando em doenças infecciosas e parasitárias"
103,13,B21,"Doença pelo vírus da imunodeficiência humana [HIV], resultando em neoplasias malignas"
104,13,B22,Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças especificadas
105,13,B23,Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças
106,13,B24,Doença pelo vírus da imunodeficiência humana [HIV] não especificada
107,14,B25,Doença por citomegalovírus
108,14,B26,Caxumba [Parotidite epidêmica]
109,14,B27,Mononucleose infecciosa
110,14,B30,Conjuntivite viral
111,14,B33,Outras doenças por vírus não classificada em outra parte
112,14,B34,"Doenças por vírus, de localização não especificada"
113,15,B35,Dermatofitose
114,15,B36,Outras micoses superficiais
115,15,B37,Candidíase
116,15,B38,Coccidioidomicose
117,15,B39,Histoplasmose
118,15,B40,Blastomicose
119,15,B41,Paracoccidioidomicose
120,15,B42,Esporotricose
121,15,B43,Cromomicose e abscesso feomicótico
122,15,B44,Aspergilose
123,15,B45,Criptococose
124,15,B46,Zigomicose
125,15,B47,Micetoma
126,15,B48,"Outras micoses, não classificadas em outra parte"
127,15,B49,Micose não especificada
128,16,B50,Malária por Plasmodium falciparum
129,16,B51,Malária por Plasmodium vivax
130,16,B52,Malária por Plasmodium malariae
131,16,B53,Outras formas de malária confirmadas por exames parasitológicos
132,16,B54,Malária não especificada
133,16,B55,Leishmaniose
134,16,B56,Tripanossomíase africana
135,16,B57,Doença de Chagas
136,16,B58,Toxoplasmose
137,16,B59,Pneumocistose
138,16,B60,"Outras doenças devidas a protozoários, não classificadas em outra parte"
139,16,B64,Doença não especificada devida a protozoários
140,17,B65,Esquistossomose [bilharziose] [Schistosomíase]
141,17,B66,Outras infestações por trematódeos
142,17,B67,Equinococose
143,17,B68,Infestação por Taenia
144,17,B69,Cisticercose
145,17,B70,Difilobotríase e esparganose
146,17,B71,Outras infestações por cestóides
147,17,B72,Dracontíase
148,17,B73,Oncocercose
149,17,B74,Filariose
150,17,B75,Triquinose
151,17,B76,Ancilostomíase
152,17,B77,Ascaridíase
153,17,B78,Estrongiloidíase
154,17,B79,Tricuríase
155,17,B80,Oxiuríase
156,17,B81,"Outras helmintíases intestinais, não classificadas em outra parte"
157,17,B82,Parasitose intestinal não especificada
158,17,B83,Outras helmintíases
159,18,B85,Pediculose e ftiríase
160,18,B86,Escabiose [sarna]
161,18,B87,Miíase
162,18,B88,Outras infestações
163,18,B89,Doença parasitária não especificada
164,19,B90,Seqüelas de tuberculose
165,19,B91,Seqüelas de poliomielite
166,19,B92,Seqüelas de hanseníase [lepra]
167,19,B94,Seqüelas de outras doenças infecciosas e parasitárias e das não especificadas
168,20,B95,Estreptococos e estafilococos como causa de doenças classificadas em outros capítulos
169,20,B96,"Outros agentes bacterianos, como causa de doenças classificadas em outros capítulos"
170,20,B97,Vírus como causa de doenças classificadas em outros capítulos
171,21,B99,"Doenças infecciosas, outras e as não especificadas"
172,22,C00,Neoplasia maligna do lábio
173,22,C01,Neoplasia maligna da base da língua
174,22,C02,Neoplasia maligna de outras partes e de partes não especificadas da língua
175,22,C03,Neoplasia maligna da gengiva
176,22,C04,Neoplasia maligna do assoalho da boca
177,22,C05,Neoplasia maligna do palato
178,22,C06,Neoplasia maligna de outras partes e de partes não especificadas da boca
179,22,C07,Neoplasia maligna da glândula parótida
180,22,C08,Neoplasia maligna de outras glândulas salivares maiores e as não especificadas
181,22,C09,Neoplasia maligna da amígdala
182,22,C10,Neoplasia maligna da orofaringe
183,22,C11,Neoplasia maligna da nasofaringe
184,22,C12,Neoplasia maligna do seio piriforme
185,22,C13,Neoplasia maligna da hipofaringe
186,22,C14,"Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade oral e faringe"
187,22,C15,Neoplasia maligna do esôfago
188,22,C16,Neoplasia maligna do estômago
189,22,C17,Neoplasia maligna do intestino delgado
190,22,C18,Neoplasia maligna do cólon
191,22,C19,Neoplasia maligna da junção retossigmóide
192,22,C20,Neoplasia maligna do reto
193,22,C21,Neoplasia maligna do ânus e do canal anal
194,22,C22,Neoplasia maligna do fígado e das vias biliares intra-hepáticas
195,22,C23,Neoplasia maligna da vesícula biliar
196,22,C24,"Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares"
197,22,C25,Neoplasia maligna do pâncreas
198,22,C26,Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho digestivo
199,22,C30,Neoplasia maligna da cavidade nasal e do ouvido médio
200,22,C31,Neoplasia maligna dos seios da face
201,22,C32,Neoplasia maligna da laringe
202,22,C33,Neoplasia maligna da traquéia
203,22,C34,Neoplasia maligna dos brônquios e dos pulmões
204,22,C37,Neoplasia maligna do timo
205,22,C38,"Neoplasia maligna do coração, mediastino e pleura"
206,22,C39,Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respiratório e dos órgãos intratorácicos
207,22,C40,Neoplasia maligna dos ossos e cartilagens articulares dos membros
208,22,C41,Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localizações não especificadas
209,22,C43,Melanoma maligno da pele
210,22,C44,Outras neoplasias malignas da pele
211,22,C45,Mesotelioma
212,22,C46,Sarcoma de Kaposi
213,22,C47,Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo
214,22,C48,Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio
215,22,C49,Neoplasia maligna do tecido conjuntivo e de outros tecidos moles
216,22,C50,Neoplasia maligna da mama
217,22,C51,Neoplasia maligna da vulva
218,22,C52,Neoplasia maligna da vagina
219,22,C53,Neoplasia maligna do colo do útero
220,22,C54,Neoplasia maligna do corpo do útero
221,22,C55,"Neoplasia maligna do útero, porção não especificada"
222,22,C56,Neoplasia maligna do ovário
223,22,C57,Neoplasia maligna de outros órgãos genitais femininos e dos não especificados
224,22,C58,Neoplasia maligna da placenta
225,22,C60,Neoplasia maligna do pênis
226,22,C61,Neoplasia maligna da próstata
227,22,C62,Neoplasia maligna dos testículos
228,22,C63,Neoplasia maligna de outros órgãos genitais masculinos e dos não especificados
229,22,C64,"Neoplasia maligna do rim, exceto pelve renal"
230,22,C65,Neoplasia maligna da pelve renal
231,22,C66,Neoplasia maligna dos ureteres
232,22,C67,Neoplasia maligna da bexiga
233,22,C68,Neoplasia maligna de outros órgãos urinários e dos não especificados
234,22,C69,Neoplasia maligna do olho e anexos
235,22,C70,Neoplasia maligna das meninges
236,22,C71,Neoplasia maligna do encéfalo
237,22,C72,"Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nervoso central"
238,22,C73,Neoplasia maligna da glândula tireóide
239,22,C74,Neoplasia maligna da glândula supra-renal [Glândula adrenal]
240,22,C75,Neoplasia maligna de outras glândulas endócrinas e de estruturas relacionadas
241,22,C76,Neoplasia maligna de outras localizações e de localizações mal definidas
242,22,C77,Neoplasia maligna secundária e não especificada dos gânglios linfáticos
243,22,C78,Neoplasia maligna secundária dos órgãos respiratórios e digestivos
244,22,C79,Neoplasia maligna secundária de outras localizações
245,22,C80,"Neoplasia maligna, sem especificação de localização"
246,22,C81,Doença de Hodgkin
247,22,C82,"Linfoma não-Hodgkin, folicular (nodular)"
248,22,C83,Linfoma não-Hodgkin difuso
249,22,C84,Linfomas de células T cutâneas e periféricas
250,22,C85,Linfoma não-Hodgkin de outros tipos e de tipo não especificado
251,22,C88,Doenças imunoproliferativas malignas
252,22,C90,Mieloma múltiplo e neoplasias malignas de plasmócitos
253,22,C91,Leucemia linfóide
254,22,C92,Leucemia mielóide
255,22,C93,Leucemia monocítica
256,22,C94,Outras leucemias de células de tipo especificado
257,22,C95,Leucemia de tipo celular não especificado
258,22,C96,"Outras neoplasias malignas e as não especificadas dos tecidos linfático, hematopoético e tecidos correlatos"
259,22,C97,Neoplasias malignas de localizações múltiplas independentes (primárias)
260,39,D00,"Carcinoma in situ da cavidade oral, do esôfago e do estômago"
261,39,D01,Carcinoma in situ de outros órgãos digestivos
262,39,D02,Carcinoma in situ do ouvido médio e do aparelho respiratório
263,39,D03,Melanoma in situ
264,39,D04,Carcinoma in situ da pele
265,39,D05,Carcinoma in situ da mama
266,39,D06,Carcinoma in situ do colo do útero (cérvix)
267,39,D07,Carcinoma in situ de outros órgãos genitais e dos não especificados
268,39,D09,Carcinoma in situ de outras localizações e das não especificadas
269,40,D10,Neoplasia benigna da boca e da faringe
270,40,D11,Neoplasia benigna de glândulas salivares maiores
271,40,D12,"Neoplasia benigna do cólon, reto, canal anal e ânus"
272,40,D13,Neoplasia benigna de outras partes e de partes mal definidas do aparelho digestivo
273,40,D14,Neoplasia benigna do ouvido médio e do aparelho respiratório
274,40,D15,Neoplasia benigna de outros órgãos intratorácicos e dos não especificados
275,40,D16,Neoplasia benigna de osso e de cartilagem articular
276,40,D17,Neoplasia lipomatosa benigna
277,40,D18,Hemangioma e linfangioma de qualquer localização
278,40,D19,Neoplasia benigna de tecido mesotelial
279,40,D20,Neoplasia benigna de tecido mole do retroperitônio e do peritônio
280,40,D21,Outras neoplasias benignas do tecido conjuntivo e de outros tecidos moles
281,40,D22,Nevos melanocíticos
282,40,D23,Outras neoplasias benignas da pele
283,40,D24,Neoplasia benigna da mama
284,40,D25,Leiomioma do útero
285,40,D26,Outras neoplasias benignas do útero
286,40,D27,Neoplasia benigna do ovário
287,40,D28,Neoplasia benigna de outros órgãos genitais femininos e de órgãos não especificados
288,40,D29,Neoplasia benigna dos órgãos genitais masculinos
289,40,D30,Neoplasia benigna dos órgãos urinários
290,40,D31,Neoplasia benigna do olho e anexos
291,40,D32,Neoplasia benigna das meninges
292,40,D33,Neoplasia benigna do encéfalo e de outras partes do sistema nervoso central
293,40,D34,Neoplasia benigna da glândula tireóide
294,40,D35,Neoplasia benigna de outras glândulas endócrinas e das não especificadas
295,40,D36,Neoplasia benigna de outras localizações e de localizações não especificadas
296,41,D37,Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos
297,41,D38,Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios e intratorácicos
298,41,D39,Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos
299,41,D40,Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos
300,41,D41,Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários
301,41,D42,Neoplasia de comportamento incerto ou desconhecido das meninges
302,41,D43,Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central
303,41,D44,Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas
304,41,D45,Policitemia vera
305,41,D46,Síndromes mielodisplásicas
306,41,D47,"Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoético e tecidos correlatos"
307,41,D48,Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações não especificadas
308,42,D50,Anemia por deficiência de ferro
309,42,D51,Anemia por deficiência de vitamina B12
310,42,D52,Anemia por deficiência de folato
311,42,D53,Outras anemias nutricionais
312,43,D55,Anemia devida a transtornos enzimáticos
313,43,D56,Talassemia
314,43,D57,Transtornos falciformes
315,43,D58,Outras anemias hemolíticas hereditárias
316,43,D59,Anemia hemolítica adquirida
317,44,D60,"Aplasia pura da série vermelha, adquirida [eritroblastopenia]"
318,44,D61,Outras anemias aplásticas
319,44,D62,Anemia aguda pós-hemorrágica
320,44,D63,Anemia em doenças crônicas classificadas em outra parte
321,44,D64,Outras anemias
322,45,D65,Coagulação intravascular disseminada [síndrome de desfibrinação]
323,45,D66,Deficiência hereditária do fator VIII
324,45,D67,Deficiência hereditária do fator IX
325,45,D68,Outros defeitos da coagulação
326,45,D69,Púrpura e outras afecções hemorrágicas
327,46,D70,Agranulocitose
328,46,D71,Transtornos funcionais dos neutrófilos polimorfonucleares
329,46,D72,Outros transtornos dos glóbulos brancos
330,46,D73,Doenças do baço
331,46,D74,Metemoglobinemia
332,46,D75,Outras doenças do sangue e dos órgãos hematopoéticos
333,46,D76,Algumas doenças que envolvem o tecido linforreticular e o sistema reticulohistiocítico
334,46,D77,Outros transtornos do sangue e dos órgãos hematopoéticos em doenças classificadas em outra parte
335,47,D80,Imunodeficiência com predominância de defeitos de anticorpos
336,47,D81,Deficiências imunitárias combinadas
337,47,D82,"Imunodeficiência associada com outros defeitos ""major"""
338,47,D83,Imunodeficiência comum variável
339,47,D84,Outras imunodeficiências
340,47,D86,Sarcoidose
341,47,D89,Outros transtornos que comprometem o mecanismo imunitário não classificados em outra parte
342,48,E00,Síndrome de deficiência congênita de iodo
343,48,E01,"Transtornos tireoidianos e afecções associadas, relacionados à deficiência de iodo"
344,48,E02,Hipotireoidismo subclínico por deficiência de iodo
345,48,E03,Outros hipotireoidismos
346,48,E04,Outros bócios não-tóxicos
347,48,E05,Tireotoxicose [hipertireoidismo]
348,48,E06,Tireoidite
349,48,E07,Outros transtornos da tireóide
350,49,E10,Diabetes mellitus insulino-dependente
351,49,E11,Diabetes mellitus não-insulino-dependente
352,49,E12,Diabetes mellitus relacionado com a desnutrição
353,49,E13,Outros tipos especificados de diabetes mellitus
354,49,E14,Diabetes mellitus não especificado
355,50,E15,Coma hipoglicêmico não-diabético
356,50,E16,Outros transtornos da secreção pancreática interna
357,51,E20,Hipoparatireoidismo
358,51,E21,Hiperparatireoidismo e outros transtornos da glândula paratireóide
359,51,E22,Hiperfunção da hipófise
360,51,E23,Hipofunção e outros transtornos da hipófise
361,51,E24,Síndrome de Cushing
362,51,E25,Transtornos adrenogenitais
363,51,E26,Hiperaldosteronismo
364,51,E27,Outros transtornos da glândula supra-renal
365,51,E28,Disfunção ovariana
366,51,E29,Disfunção testicular
367,51,E30,Transtornos da puberdade não classificados em outra parte
368,51,E31,Disfunção poliglandular
369,51,E32,Doenças do timo
370,51,E34,Outros transtornos endócrinos
371,51,E35,Transtornos das glândulas endócrinas em doenças classificadas em outra parte
372,52,E40,Kwashiorkor
373,52,E41,Marasmo nutricional
374,52,E42,Kwashiorkor marasmático
375,52,E43,Desnutrição protéico-calórica grave não especificada
376,52,E44,Desnutrição protéico-calórica de graus moderado e leve
377,52,E45,Atraso do desenvolvimento devido à desnutrição protéico-calórica
378,52,E46,Desnutrição protéico-calórica não especificada
379,53,E50,Deficiência de vitamina A
380,53,E51,Deficiência de tiamina
381,53,E52,Deficiência de niacina [pelagra]
382,53,E53,Deficiência de outras vitaminas do grupo B
383,53,E54,Deficiência de ácido ascórbico
384,53,E55,Deficiência de vitamina D
385,53,E56,Outras deficiências vitamínicas
386,53,E58,Deficiência de cálcio da dieta
387,53,E59,Deficiência de selênio da dieta
388,53,E60,Deficiência de zinco da dieta
389,53,E61,Deficiência de outros elementos nutrientes
390,53,E63,Outras deficiências nutricionais
391,53,E64,Seqüelas de desnutrição e de outras deficiências nutricionais
392,54,E65,Adiposidade localizada
393,54,E66,Obesidade
394,54,E67,Outras formas de hiperalimentação
395,54,E68,Seqüelas de hiperalimentação
396,55,E70,Distúrbios do metabolismo de aminoácidos aromáticos
397,55,E71,Distúrbios do metabolismo de aminoácidos de cadeia ramificada e do metabolismo dos ácidos graxos
398,55,E72,Outros distúrbios do metabolismo de aminoácidos
399,55,E73,Intolerância à lactose
400,55,E74,Outros distúrbios do metabolismo de carboidratos
401,55,E75,Distúrbios do metabolismo de esfingolípides e outros distúrbios de depósito de lípides
402,55,E76,Distúrbios do metabolismo do glicosaminoglicano
403,55,E77,Distúrbios do metabolismo de glicoproteínas
404,55,E78,Distúrbios do metabolismo de lipoproteínas e outras lipidemias
405,55,E79,Distúrbios do metabolismo de purina e pirimidina
406,55,E80,Distúrbios do metabolismo da porfirina e da bilirrubina
407,55,E83,Distúrbios do metabolismo de minerais
408,55,E84,Fibrose cística
409,55,E85,Amiloidose
410,55,E86,Depleção de volume
411,55,E87,Outros transtornos do equilíbrio hidroeletrolítico e ácido-básico
412,55,E88,Outros distúrbios metabólicos
413,55,E89,"Transtornos endócrinos e metabólicos pós-procedimentos, não classificados em outra parte"
414,55,E90,Transtornos nutricionais e metabólicos em doenças classificadas em outra parte
415,56,F00,Demência na doença de Alzheimer
416,56,F01,Demência vascular
417,56,F02,Demência em outras doenças classificadas em outra parte
418,56,F03,Demência não especificada
419,56,F04,Síndrome amnésica orgânica não induzida pelo álcool ou por outras substâncias psicoativas
420,56,F05,Delirium não induzido pelo álcool ou por outras substâncias psicoativas
421,56,F06,Outros transtornos mentais devidos a lesão e disfunção cerebral e a doença física
422,56,F07,"Transtornos de personalidade e do comportamento devidos a doença, a lesão e a disfunção cerebral"
423,56,F09,Transtorno mental orgânico ou sintomático não especificado
424,57,F10,Transtornos mentais e comportamentais devidos ao uso de álcool
425,57,F11,Transtornos mentais e comportamentais devidos ao uso de opiáceos
426,57,F12,Transtornos mentais e comportamentais devidos ao uso de canabinóides
427,57,F13,Transtornos mentais e comportamentais devidos ao uso de sedativos e hipnóticos
428,57,F14,Transtornos mentais e comportamentais devidos ao uso da cocaína
429,57,F15,"Transtornos mentais e comportamentais devidos ao uso de outros estimulantes, inclusive a cafeína"
430,57,F16,Transtornos mentais e comportamentais devidos ao uso de alucinógenos
431,57,F17,Transtornos mentais e comportamentais devidos ao uso de fumo
432,57,F18,Transtornos mentais e comportamentais devidos ao uso de solventes voláteis
433,57,F19,Transtornos mentais e comportamentais devidos ao uso de múltiplas drogas e ao uso de outras substâncias psicoativas
434,58,F20,Esquizofrenia
435,58,F21,Transtorno esquizotípico
436,58,F22,Transtornos delirantes persistentes
437,58,F23,Transtornos psicóticos agudos e transitórios
438,58,F24,Transtorno delirante induzido
439,58,F25,Transtornos esquizoafetivos
440,58,F28,Outros transtornos psicóticos não-orgânicos
441,58,F29,Psicose não-orgânica não especificada
442,59,F30,Episódio maníaco
443,59,F31,Transtorno afetivo bipolar
444,59,F32,Episódios depressivos
445,59,F33,Transtorno depressivo recorrente
446,59,F34,Transtornos de humor [afetivos] persistentes
447,59,F38,Outros transtornos do humor [afetivos]
448,59,F39,Transtorno do humor [afetivo] não especificado
449,60,F40,Transtornos fóbico-ansiosos
450,60,F41,Outros transtornos ansiosos
451,60,F42,Transtorno obsessivo-compulsivo
452,60,F43,"Reações ao ""stress"" grave e transtornos de adaptação"
453,60,F44,Transtornos dissociativos [de conversão]
454,60,F45,Transtornos somatoformes
455,60,F48,Outros transtornos neuróticos
456,61,F50,Transtornos da alimentação
457,61,F51,Transtornos não-orgânicos do sono devidos a fatores emocionais
458,61,F52,"Disfunção sexual, não causada por transtorno ou doença orgânica"
459,61,F53,"Transtornos mentais e comportamentais associados ao puerpério, não classificados em outra parte"
460,61,F54,Fatores psicológicos ou comportamentais associados a doença ou a transtornos classificados em outra parte
461,61,F55,Abuso de substâncias que não produzem dependência
462,61,F59,"Síndromes comportamentais associados a transtornos das funções fisiológicas e a fatores físicos, não especificadas"
463,62,F60,Transtornos específicos da personalidade
464,62,F61,Transtornos mistos da personalidade e outros transtornos da personalidade
465,62,F62,Modificações duradouras da personalidade não atribuíveis a lesão ou doença cerebral
466,62,F63,Transtornos dos hábitos e dos impulsos
467,62,F64,Transtornos da identidade sexual
468,62,F65,Transtornos da preferência sexual
469,62,F66,Transtornos psicológicos e comportamentais associados ao desenvolvimento sexual e à sua orientação
470,62,F68,Outros transtornos da personalidade e do comportamento do adulto
471,62,F69,"Transtorno da personalidade e do comportamento do adulto, não especificado"
472,63,F70,Retardo mental leve
473,63,F71,Retardo mental moderado
474,63,F72,Retardo mental grave
475,63,F73,Retardo mental profundo
476,63,F78,Outro retardo mental
477,63,F79,Retardo mental não especificado
478,64,F80,Transtornos específicos do desenvolvimento da fala e da linguagem
479,64,F81,Transtornos específicos do desenvolvimento das habilidades escolares
480,64,F82,Transtorno específico do desenvolvimento motor
481,64,F83,Transtornos específicos misto do desenvolvimento
482,64,F84,Transtornos globais do desenvolvimento
483,64,F88,Outros transtornos do desenvolvimento psicológico
484,64,F89,Transtorno do desenvolvimento psicológico não especificado
485,65,F90,Transtornos hipercinéticos
486,65,F91,Distúrbios de conduta
487,65,F92,Transtornos mistos de conduta e das emoções
488,65,F93,Transtornos emocionais com início especificamente na infância
489,65,F94,Transtornos do funcionamento social com início especificamente durante a infância ou a adolescência
490,65,F95,Tiques
491,65,F98,Outros transtornos comportamentais e emocionais com início habitualmente durante a infância ou a adolescência
492,66,F99,Transtorno mental não especificado em outra parte
493,67,G00,Meningite bacteriana não classificada em outra parte
494,67,G01,Meningite em doenças bacterianas classificadas em outra parte
495,67,G02,Meningite em outras doenças infecciosas e parasitárias classificadas em outra parte
496,67,G03,Meningite devida a outras causas e a causas não especificadas
497,67,G04,"Encefalite, mielite e encefalomielite"
498,67,G05,"Encefalite, mielite e encefalomielite em doenças classificadas em outra parte"
499,67,G06,Abscesso e granuloma intracranianos e intra-raquidianos
500,67,G07,Abscesso e granuloma intracranianos e intraspinais em doenças classificadas em outra parte
501,67,G08,Flebite e tromboflebite intracranianas e intra-raquidianas
502,67,G09,Seqüelas de doenças inflamatórias do sistema nervoso central
503,68,G10,Doença de Huntington
504,68,G11,Ataxia hereditária
505,68,G12,Atrofia muscular espinal e síndromes correlatas
506,68,G13,Atrofias sistêmicas que afetam principalmente o sistema nervoso central em doenças classificadas em outra parte
507,69,G20,Doença de Parkinson
508,69,G21,Parkinsonismo secundário
509,69,G22,Parkinsonismo em doenças classificadas em outra parte
510,69,G23,Outras doenças degenerativas dos gânglios da base
511,69,G24,Distonia
512,69,G25,Outras doenças extrapiramidais e transtornos dos movimentos
513,69,G26,Doenças extrapiramidais e transtornos dos movimentos em doenças classificadas em outra parte
514,70,G30,Doença de Alzheimer
515,70,G31,Outras doenças degenerativas do sistema nervoso não classificadas em outra parte
516,70,G32,Outros transtornos degenerativos do sistema nervoso em doenças classificadas em outra parte
517,71,G35,Esclerose múltipla
518,71,G36,Outras desmielinizações disseminadas agudas
519,71,G37,Outras doenças desmielinizantes do sistema nervoso central
520,72,G40,Epilepsia
521,72,G41,Estado de mal epiléptico
522,72,G43,Enxaqueca
523,72,G44,Outras síndromes de algias cefálicas
524,72,G45,Acidentes vasculares cerebrais isquêmicos transitórios e síndromes correlatas
525,72,G46,Síndromes vasculares cerebrais que ocorrem em doenças cerebrovasculares
526,72,G47,Distúrbios do sono
527,73,G50,Transtornos do nervo trigêmeo
528,73,G51,Transtornos do nervo facial
529,73,G52,Transtornos de outros nervos cranianos
530,73,G53,Transtornos dos nervos cranianos em doenças classificadas em outra parte
531,73,G54,Transtornos das raízes e dos plexos nervosos
532,73,G55,Compressões das raízes e dos plexos nervosos em doenças classificadas em outra parte
533,73,G56,Mononeuropatias dos membros superiores
534,73,G57,Mononeuropatias dos membros inferiores
535,73,G58,Outras mononeuropatias
536,73,G59,Mononeuropatias em doenças classificadas em outra parte
537,74,G60,Neuropatia hereditária e idiopática
538,74,G61,Polineuropatia inflamatória
539,74,G62,Outras polineuropatias
540,74,G63,Polineuropatia em doenças classificadas em outra parte
541,74,G64,Outros transtornos do sistema nervoso periférico
542,75,G70,Miastenia gravis e outros transtornos neuromusculares
543,75,G71,Transtornos primários dos músculos
544,75,G72,Outras miopatias
545,75,G73,Transtornos da junção mioneural e dos músculos em doenças classificadas em outra parte
546,76,G80,Paralisia cerebral
547,76,G81,Hemiplegia
548,76,G82,Paraplegia e tetraplegia
549,76,G83,Outras síndromes paralíticas
550,77,G90,Transtornos do sistema nervoso autônomo
